s,S,K,h,p,c,costoOrden,costoMantenimiento,costoFaltante,costoTotal
60,200,50.0,1.0,5.0,2.0,3960.0,43847.94898411504,0.0,47807.94898411504
60,200,50.0,1.0,5.0,2.0,3960.0,44073.589388272085,0.0,48033.589388272085
60,200,50.0,1.0,5.0,2.0,3960.0,44787.617407584876,0.0,48747.617407584876
60,200,50.0,1.0,5.0,2.0,4290.0,45188.264920087204,0.0,49478.264920087204
60,200,50.0,1.0,5.0,2.0,4290.0,43796.56608970448,0.0,48086.56608970448
60,200,50.0,1.0,5.0,2.0,4290.0,43722.51385343026,0.0,48012.51385343026
60,200,50.0,1.0,5.0,2.0,3960.0,44938.66911424641,0.0,48898.66911424641
60,200,50.0,1.0,5.0,2.0,3960.0,43963.737102107705,0.0,47923.737102107705
60,200,50.0,1.0,5.0,2.0,4290.0,45077.96225505284,0.0,49367.96225505284
60,200,50.0,1.0,5.0,2.0,4290.0,44332.19307099712,0.0,48622.19307099712
60,200,50.0,1.0,5.0,2.0,4290.0,44345.56575242389,0.0,48635.56575242389
60,200,50.0,1.0,5.0,2.0,4290.0,44159.55178872014,0.0,48449.55178872014
60,200,50.0,1.0,5.0,2.0,4290.0,43774.140580638865,0.0,48064.140580638865
60,200,50.0,1.0,5.0,2.0,4290.0,44100.025073549376,0.0,48390.025073549376
60,200,50.0,1.0,5.0,2.0,4290.0,43877.29317370909,0.0,48167.29317370909
60,200,50.0,1.0,5.0,2.0,3960.0,44454.07056121284,0.0,48414.07056121284
60,200,50.0,1.0,5.0,2.0,3960.0,44509.32821513816,0.0,48469.32821513816
60,200,50.0,1.0,5.0,2.0,4290.0,44129.10980640925,0.0,48419.10980640925
60,200,50.0,1.0,5.0,2.0,4290.0,44571.61256800095,0.0,48861.61256800095
60,200,50.0,1.0,5.0,2.0,4290.0,44109.716390542584,0.0,48399.716390542584
60,200,50.0,1.0,5.0,2.0,3960.0,44870.82232119026,0.0,48830.82232119026
60,200,50.0,1.0,5.0,2.0,4290.0,44202.22326069178,0.0,48492.22326069178
60,200,50.0,1.0,5.0,2.0,3960.0,44629.449064988825,0.0,48589.449064988825
60,200,50.0,1.0,5.0,2.0,4290.0,43888.92501097657,0.0,48178.92501097657
60,200,50.0,1.0,5.0,2.0,3960.0,44341.960905797154,0.0,48301.960905797154
60,200,50.0,1.0,5.0,2.0,4290.0,44348.411818308145,0.0,48638.411818308145
60,200,50.0,1.0,5.0,2.0,4290.0,44212.56015236188,0.0,48502.56015236188
60,200,50.0,1.0,5.0,2.0,4290.0,44705.59356527247,0.0,48995.59356527247
60,200,50.0,1.0,5.0,2.0,3960.0,44721.701993947696,0.0,48681.701993947696
60,200,50.0,1.0,5.0,2.0,4290.0,43592.74941007706,0.0,47882.74941007706
